symbol,legal_name,cik,figi,exchange_mic,security_type,share_class,currency,domicile,sic,source_classification,mapped_sector,primary_liquid_class
CCL,CARNIVAL CORP,0000815097,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
CDNS,CADENCE DESIGN SYSTEMS INC,0000813672,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
CDW,CDW Corp,0001402057,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
CEG,Constellation Energy Corp,0001868275,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
CF,"CF Industries Holdings, Inc.",0001324404,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Materials,,true
CFG,CITIZENS FINANCIAL GROUP INC/RI,0000759944,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
CHD,CHURCH & DWIGHT CO INC /DE/,0000313927,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Staples,,true
CHRW,"C. H. ROBINSON WORLDWIDE, INC.",0001043277,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",0001091667,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Communication Services,,true
CI,Cigna Group,0001739940,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
CIEN,CIENA CORP,0000936395,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
CINF,CINCINNATI FINANCIAL CORP,0000020286,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
CL,COLGATE PALMOLIVE CO,0000021665,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Staples,,true
CLX,CLOROX CO /DE/,0000021076,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Staples,,true
CMCSA,COMCAST CORP,0001166691,,XNAS,COMMON_STOCK,CLASS_A,USD,,,Communication Services,,true
CME,CME GROUP INC.,0001156375,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
CMG,CHIPOTLE MEXICAN GRILL INC,0001058090,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
CMI,CUMMINS INC,0000026172,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
CMS,CMS ENERGY CORP,0000811156,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
CNC,CENTENE CORP,0001071739,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
CNP,CENTERPOINT ENERGY INC,0001130310,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
COF,CAPITAL ONE FINANCIAL CORP,0000927628,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
COHR,COHERENT CORP.,0000820318,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
COIN,"Coinbase Global, Inc.",0001679788,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
COO,"COOPER COMPANIES, INC.",0000711404,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
COP,CONOCOPHILLIPS,0001163165,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Energy,,true
COR,"Cencora, Inc.",0001140859,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
COST,COSTCO WHOLESALE CORP /NEW,0000909832,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Staples,,true
CPAY,"CORPAY, INC.",0001175454,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
CPRT,COPART INC,0000900075,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
CPT,CAMDEN PROPERTY TRUST,0000906345,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
CRH,CRH PUBLIC LTD CO,0000849395,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Materials,,true
CRL,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",0001100682,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
CRM,"Salesforce, Inc.",0001108524,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
CRWD,"CrowdStrike Holdings, Inc.",0001535527,,XNAS,COMMON_STOCK,CLASS_A,USD,,,Information Technology,,true
CSCO,"CISCO SYSTEMS, INC.",0000858877,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
CSGP,"COSTAR GROUP, INC.",0001057352,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
CSX,CSX CORP,0000277948,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
CTAS,CINTAS CORP,0000723254,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
CTVA,"Corteva, Inc.",0001755672,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Materials,,true
CVNA,CARVANA CO.,0001690820,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
CVS,CVS HEALTH Corp,0000064803,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
CVX,CHEVRON CORP,0000093410,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Energy,,true
D,"DOMINION ENERGY, INC",0000715957,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
DAL,"DELTA AIR LINES, INC.",0000027904,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
DASH,"DoorDash, Inc.",0001792789,,XNAS,COMMON_STOCK,CLASS_A,USD,,,Consumer Discretionary,,true
DD,"DuPont de Nemours, Inc.",0001666700,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
DDOG,"Datadog, Inc.",0001561550,,XNAS,COMMON_STOCK,CLASS_A,USD,,,Information Technology,,true
DE,DEERE & CO,0000315189,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
DECK,DECKERS OUTDOOR CORP,0000910521,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
DELL,Dell Technologies Inc.,0001571996,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
DG,DOLLAR GENERAL CORP,0000029534,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Staples,,true
DGX,QUEST DIAGNOSTICS INC,0001022079,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
DHI,HORTON D R INC /DE/,0000882184,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
DHR,DANAHER CORP /DE/,0000313616,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
DIS,Walt Disney Co,0001744489,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Communication Services,,true
DLR,"DIGITAL REALTY TRUST, INC.",0001297996,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
DLTR,"DOLLAR TREE, INC.",0000935703,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Staples,,true
DOC,"HEALTHPEAK PROPERTIES, INC.",0000765880,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
DOV,DOVER Corp,0000029905,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
DOW,DOW INC.,0001751788,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Materials,,true
DPZ,DOMINOS PIZZA INC,0001286681,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
DRI,DARDEN RESTAURANTS INC,0000940944,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
DTE,DTE ENERGY CO,0000936340,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
DUK,Duke Energy CORP,0001326160,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
DVA,DAVITA INC.,0000927066,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
